ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	SEB, SARA			DyenDB	001-202	A	001-203
002	TE			DyenDB	002-003	A	002-003
003	JANVER			DyenDB	003-400	C	003-400
004	SVA			DyenDB	004-008	A	004-008
005	TE, PER			DyenDB	005-219	A	005-219
006	PITTH			DyenDB	006-006	A	006-006
007	PERA			DyenDB		A	
008	CHELL			DyenDB	008-205	A	008-205
009	KYOKE			DyenDB	009-213	A	009-213
010	PET			DyenDB	010-212	A	010-212
011	VEDDA			DyenDB	011-002	A	011-002
012	PENCHI			DyenDB	012-203	A	012-203
013	VEDDENA			DyenDB		A	
014	KALA			DyenDB	014-002	A	014-002
015	LEU			DyenDB	015-008	A	015-008
016	VEGNA			DyenDB	016-202	A	016-202
017	HEDDI			DyenDB	017-203	A	017-203
019	SA+LENA			DyenDB	019-008	A	019-008
020	JELNA			DyenDB	020-209	A	020-209
021	BECCA			DyenDB	021-005	A	021-005
022	BEDDEL			DyenDB	022-004	A	022-004
023	THEND			DyenDB	023-004	A	023-004
024	ONA			DyenDB	024-200	A	024-200
025	GINENA			DyenDB	025-002	A	025-002
026	KHETTENA			DyenDB	026-203	A	026-203
027	DIN			DyenDB	027-003	A	027-003
028	MERNA			DyenDB	028-003	A	028-003
029	KHODNA			DyenDB	029-009	A	029-009
030	MELLA			DyenDB	030-211	A	030-213
031	KUTTA			DyenDB	031-005	A	031-005
032	PINA			DyenDB	032-004	A	032-004
033	SUKKA			DyenDB	033-205	A	033-205
034	KHUNDA			DyenDB	034-007	A	034-007
035	TUR			DyenDB	035-209	A	035-209
036	KENN			DyenDB	036-003	A	036-003
037	MITTI			DyenDB	037-211	A	037-211
038	KHANA			DyenDB	038-200	A	038-200
039	ANDA			DyenDB	039-002	A	039-002
040	EKKH			DyenDB	040-002	A	040-002
041	DIGGENA			DyenDB		A	
042	PERE			DyenDB	042-200	A	042-200
043	CERBI			DyenDB	043-007	A	043-007
044	BAP, PYO			DyenDB	044-209	A	044-213
045	DERNA			DyenDB	045-200	A	045-202
046	KHEMB			DyenDB	046-200	A	046-202
047	THORA			DyenDB	047-205	A	047-206
048	LERNA			DyenDB	048-002	A	048-002
050	EGG			DyenDB	050-004	A	050-004
051	MECCHI			DyenDB	051-002	A	051-002
052	PENJ			DyenDB	052-002	A	052-002
053	TERNA			DyenDB	053-002	A	053-002
054	VEGNA			DyenDB	054-215	A	054-217
055	PHULL			DyenDB	055-004	A	055-004
056	UDDENA			DyenDB	056-200	A	056-200
057	TUND			DyenDB	057-007	A	057-007
058	PER			DyenDB	058-200	A	058-200
059	CAR			DyenDB	059-002	A	059-002
060	JEMMENA			DyenDB	060-004	A	060-004
061	PHEL			DyenDB	061-002	A	061-002
063	DENA			DyenDB	063-200	A	063-200
064	CENGA			DyenDB	064-008	A	064-008
065	KA			DyenDB		A	
066	HERA			DyenDB	066-205	A	066-205
067	ANDER			DyenDB	067-200	A	067-200
068	VAL			DyenDB	068-204	A	068-204
069	HETTH			DyenDB	069-200	A	069-200
070	O			DyenDB	070-213	A	070-213
071	SIR			DyenDB	071-205	A	071-205
072	SUNENA			DyenDB	072-205	A	072-205
073	DIL			DyenDB	073-007	A	073-007
074	PARA			DyenDB	074-200	A	074-206
075	ETTHE			DyenDB	075-208	A	075-208
076	THOKKER+MARNA			DyenDB	076-211	A	076-213
077	PHERNA			DyenDB	077-100	C	077-100
079	KIS+TERA			DyenDB	079-200	A	079-200
080	SEKAR+KERNA			DyenDB	080-004	A	080-004
081	PETI			DyenDB	081-203	A	081-205
082	ME			DyenDB	082-200	A	082-200
083	BEREPH			DyenDB	083-202	A	083-202
084	EGER, JE			DyenDB	084-203	A	084-209
085	ENDER			DyenDB	085-200	A	085-200
086	MARNA			DyenDB	086-200	A	086-200
088	JANNENA			DyenDB	088-200	A	088-202
089	CIL			DyenDB	089-206	A	089-209
090	HESSENA			DyenDB	090-007	A	090-007
091	PETTA			DyenDB	091-005	A	091-005
092	KHEBBA			DyenDB	092-017	A	092-017
093	LETT, TENG			DyenDB	093-009	A	093-009
094	LETNA			DyenDB	094-008	A	094-008
096	JIGER			DyenDB	096-200	A	096-202
097	LEMMA			DyenDB	097-003	A	097-003
098	JU			DyenDB	098-204	A	098-204
099	ADMI			DyenDB		A	
100	BOT			DyenDB	100-009	A	100-009
101	MAS			DyenDB	101-007	A	101-007
103	MA			DyenDB	103-200	A	103-200
104	PAR			DyenDB	104-206	A	104-208
105	MU			DyenDB	105-200	A	105-202
106	NA			DyenDB	106-003	A	106-003
107	PIRA, TENG			DyenDB	107-213	A	107-213
108	NERE			DyenDB	108-204	A	108-205
109	GICCI			DyenDB		A	
110	NEVA			DyenDB	110-200	A	110-200
111	RAT, RAT			DyenDB	111-003	A	111-003
112	NEKK			DyenDB	112-005	A	112-005
113	NEI, NA			DyenDB	113-005	A	113-005
114	PERANA			DyenDB	114-200	A	114-200
115	IKK			DyenDB	115-200	A	115-200
117	JENA			DyenDB	117-007	A	117-007
118	KHEDDENA			DyenDB	118-011	A	118-011
119	KHICCENA			DyenDB	119-209	A	119-211
120	TIKKENA			DyenDB	120-210	A	120-210
121	VESSENA			DyenDB	121-010	A	121-010
122	LAL			DyenDB	122-002	A	122-002
123	THIK			DyenDB	123-007	A	123-007
124	SEJJA			DyenDB	124-203	A	124-203
125	NEDI, DERYA			DyenDB	125-203	A	125-204
126	SEREK			DyenDB	126-200	A	126-202
127	JER			DyenDB	127-200	A	127-200
128	RESSA			DyenDB	128-200	A	128-200
129	SEREA HOYA			DyenDB	129-010	A	129-010
131	REGERNA			DyenDB	131-005	A	131-005
132	LUN			DyenDB	132-200	A	132-202
133	RET			DyenDB	133-200	A	133-200
134	KENA			DyenDB	134-206	A	134-206
135	KHURCENA			DyenDB	135-211	A	135-211
