ID	source_form	phon_form	notes	source	cognate_class	reliability
001	SERVE			DyenDB		A
002	ANI			DyenDB	002-010	A
003	PRANI (CREATURE), JENAVER (NON-HUMAN ANIMAL)			DyenDB	003-400	C
004	RAKH			DyenDB	004-006	A
005	-T, -VER, -I			DyenDB	005-219	A
006	PATH			DyenDB	006-006	A
007	VAIT			DyenDB		A
008	SAL			DyenDB	008-205	A
009	KAREN			DyenDB	009-004	A
010	POT			DyenDB	010-212	A
011	MOTHA			DyenDB	011-007	A
012	PEKSI			DyenDB	012-203	A
013	CAVNE			DyenDB	013-102	C
014	KALA			DyenDB	014-002	A
015	REKTE			DyenDB	015-200	A
016	VAHNE			DyenDB	016-200	A
017	HAD			DyenDB	017-203	A
019	SVAS+GHENE			DyenDB	019-008	A
020	JELNE			DyenDB	020-209	A
021	MUL			DyenDB		A
022	DHEG			DyenDB		A
023	THEND			DyenDB	023-004	A
024	YENE			DyenDB	024-202	A
025	MOJNE			DyenDB		A
026	KAPNE			DyenDB	026-010	A
027	DIVES			DyenDB	027-003	A
028	MERNE.			DyenDB	028-003	A
029	KHENNE.			DyenDB	029-209	A
030	GHAN, GHANERDA			DyenDB	030-211	A
031	KUTRA			DyenDB	031-005	A
032	PINE.			DyenDB	032-004	A
033	SUKA			DyenDB	033-205	A
034	BOTHET			DyenDB	034-400	C
035	DHUL			DyenDB	035-206	A
036	KAN			DyenDB	036-003	A
037	MATI			DyenDB	037-211	A
038	KHANE.			DyenDB	038-200	A
039	ENDE.			DyenDB	039-002	A
040	DOLA			DyenDB		A
041	PEDNE.			DyenDB	041-203	A
042	DUR			DyenDB	042-007	A
043	CERBI			DyenDB	043-007	A
044	VEDIL, BAP			DyenDB	044-214	A
045	BHINE.			DyenDB	045-204	A
046	PIS			DyenDB	046-100	C
047	THODA			DyenDB	047-206	A
048	LEDHNE.			DyenDB	048-002	A
050	AG			DyenDB	050-004	A
051	MASA			DyenDB	051-002	A
052	PAC			DyenDB	052-002	A
053	TERNE.			DyenDB	053-002	A
054	VAHNE.			DyenDB	054-215	A
055	PHUL			DyenDB	055-004	A
056	UDNE.			DyenDB	056-200	A
057	DHUKE.			DyenDB	057-007	A
058	PAUL, PAY			DyenDB	058-200	A
059	CAR			DyenDB	059-002	A
060	GOTHNE.			DyenDB		A
061	PHEL			DyenDB	061-002	A
063	DENE.			DyenDB	063-200	A
064	CANGLA			DyenDB	064-008	A
065	GEVET (GRASS), GHAS (FODDER)			DyenDB		A
066	HIRVA			DyenDB	066-206	A
067	ATEDE.			DyenDB	067-200	A
068	KES			DyenDB	068-206	A
069	HAT			DyenDB	069-200	A
070	TO, HA			DyenDB	070-202	A
071	DOKE.			DyenDB	071-209	A
072	EYKNE.			DyenDB		A
073	HRIDEY			DyenDB	073-200	A
074	JED			DyenDB		A
075	ITHE., IKDE.			DyenDB	075-209	A
076	APETNE., MARNE.			DyenDB	076-214	A
077	DHERNE.			DyenDB	077-010	A
079	KESA			DyenDB	079-200	A
080	SIKAR+KERNE.			DyenDB	080-004	A
081	NEVRA			DyenDB		A
082	MI			DyenDB	082-200	A
083	BERPHE			DyenDB	083-202	A
084	JER			DyenDB	084-209	A
085	AT, -MEDHE			DyenDB	085-202	A
086	THAR+MARNE.			DyenDB	086-200	A
088	JANNE.			DyenDB	088-202	A
089	TELE.			DyenDB	089-211	A
090	HESNE.			DyenDB	090-007	A
091	PAN			DyenDB	091-207	A
092	DAVA			DyenDB	092-007	A
093	PAY			DyenDB	093-200	A
094	PEDNE.			DyenDB		A
095	JEGNE (BE ALIVE)			DyenDB	095-005	A
096	KALIJ, YEKRIT			DyenDB	096-201	A
097	LAMB			DyenDB	097-003	A
098	U			DyenDB	098-008	A
099	PURUS			DyenDB	099-208	A
100	PUSKEL, PHAR, KHUP			DyenDB		A
101	MAS, MAVS			DyenDB	101-007	A
103	AI			DyenDB		A
104	DONGER			DyenDB		A
105	TOND			DyenDB		A
106	NAV			DyenDB	106-003	A
107	ERUNDE			DyenDB		A
108	JEVEL			DyenDB		A
109	MAN			DyenDB	109-003	A
110	NEVIN			DyenDB	110-200	A
111	RATRE			DyenDB	111-003	A
112	NAK			DyenDB	112-005	A
113	NE, NAHI			DyenDB	113-005	A
114	MHATARA (ANIMATE), JUNA (INANIMATE)			DyenDB		A
115	EK			DyenDB	115-200	A
116	DUSRA, ITER			DyenDB	116-007	A
117	MANUS, LOK			DyenDB	117-215	A
118	KHELNE.			DyenDB	118-011	A
119	ODHNE.			DyenDB	119-101	C
120	DHEKELNE.			DyenDB	120-210	A
121	PAUS+PEDNE.			DyenDB		A
122	TAMBDA, LAL			DyenDB	122-002	A
123	THIK, BEROBER			DyenDB	123-007	A
124	UJVA			DyenDB		A
125	NEDI			DyenDB	125-203	A
126	RESTA			DyenDB	126-200	A
127	MUL			DyenDB	127-202	A
128	DOR, DORI			DyenDB	128-003	A
129	NASKA			DyenDB		A
131	GHASNE			DyenDB	131-202	A
132	MITH, LON			DyenDB	132-201	A
133	VALU, RETI			DyenDB	133-201	A
134	MHENNE.			DyenDB		A
135	KHAJEVNE			DyenDB	135-209	A
136	SEMUDRE			DyenDB	136-005	A
137	PAHNE			DyenDB		A
138	BI			DyenDB	138-002	A
139	SIVNE.			DyenDB	139-200	A
140	DHARDAR			DyenDB	140-003	A
141	AKHUD			DyenDB	141-100	C
142	GANE			DyenDB	142-002	A
143	BESNE.			DyenDB	143-206	A
144	KATEDI			DyenDB		A
145	AKAS			DyenDB	145-006	A
146	NIJNE., JHOPNE.			DyenDB	146-006	A
147	LEHAN			DyenDB		A
148	HUNGNE.			DyenDB	148-208	A
149	DHUR			DyenDB	149-200	A
150	GULGULIT			DyenDB		A
151	SAP			DyenDB	151-006	A
152	HIME			DyenDB	152-200	A
153	KAHI			DyenDB	153-204	A
154	THUNKNE.			DyenDB	154-202	A
