ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	TODO(TO)			DyenDB	001-003	A	001-003
002	E			DyenDB	002-204	A	002-204
003	ANIMAL			DyenDB	003-401	C	003-401
004	CINZA			DyenDB	004-002	A	004-002
005	A, NO			DyenDB	005-200	A	005-206
006	COSTAS			DyenDB	006-200	A	006-204
007	MAU			DyenDB	007-219	A	007-219
008	CORTEX, CORTICA			DyenDB	008-202	A	008-204
009	PORQUE			DyenDB	009-010	A	009-010
010	VENTRE			DyenDB	010-200	A	010-201
011	GRANDE			DyenDB	011-207	A	011-209
012	AVE			DyenDB	012-200	A	012-200
013	MORDER			DyenDB	013-003	A	013-003
014	NEGRO, PRETO			DyenDB	014-005	A	014-005
015	SANGUE			DyenDB	015-003	A	015-003
016	SOPRAR			DyenDB	016-203	A	016-208
017	OSSO			DyenDB	017-200	A	017-200
019	RESPIRAR			DyenDB	019-200	A	019-202
020	QUEIMAR			DyenDB		A	
021	CRIANCA			DyenDB	021-203	A	021-203
022	NUVEM			DyenDB	022-008	A	022-008
023	FRIO			DyenDB	023-003	A	023-003
024	VIR			DyenDB	024-206	A	024-206
025	CONTAR			DyenDB	025-203	A	025-205
026	CORTAR			DyenDB	026-200	A	026-202
027	DIA			DyenDB	027-003	A	027-003
028	MORRER			DyenDB	028-003	A	028-003
029	CAVAR			DyenDB	029-003	A	029-003
030	SUJO			DyenDB	030-203	A	030-207
031	CAO			DyenDB	031-003	A	031-003
032	BEBER			DyenDB	032-004	A	032-004
033	SECO			DyenDB	033-202	A	033-202
034	EMBOTADOR			DyenDB	034-008	A	034-008
035	PO, POEIRA			DyenDB	035-004	A	035-004
036	ORELHA			DyenDB	036-200	A	036-200
037	SOLO			DyenDB	037-205	A	037-207
038	COMER			DyenDB	038-003	A	038-003
039	OVO			DyenDB	039-007	A	039-007
040	OLHO			DyenDB	040-002	A	040-002
041	CAIR			DyenDB	041-003	A	041-003
042	LONGE			DyenDB	042-200	A	042-202
043	GORDURA, GORDO			DyenDB	043-002	A	043-002
044	PAI			DyenDB	044-209	A	044-210
045	TEMER			DyenDB	045-205	A	045-205
046	PLUMA			DyenDB	046-203	A	046-206
047	POUCOS			DyenDB	047-002	A	047-002
048	COMBATER			DyenDB	048-205	A	048-205
050	FOGO			DyenDB	050-002	A	050-002
051	PEIXE			DyenDB	051-009	A	051-009
052	CINCO			DyenDB	052-002	A	052-002
053	ABOIAR			DyenDB	053-007	A	053-007
054	ESCORRER			DyenDB	054-209	A	054-212
055	FLORA			DyenDB	055-002	A	055-002
056	VOAR			DyenDB	056-005	A	056-005
057	NEVOA			DyenDB	057-200	A	057-206
058	PE			DyenDB	058-200	A	058-200
059	QUATRO			DyenDB	059-002	A	059-002
060	GELAR			DyenDB	060-204	A	060-204
061	FRUTA			DyenDB	061-003	A	061-003
063	DAR			DyenDB	063-200	A	063-200
064	BOM			DyenDB	064-002	A	064-002
065	ERVA			DyenDB	065-002	A	065-002
066	VERDE (VER)			DyenDB	066-008	A	066-008
067	ENTRANHA, INTESTINO			DyenDB	067-200	A	067-201
068	CABELO			DyenDB	068-200	A	068-200
069	MAO			DyenDB	069-002	A	069-002
070	ELE			DyenDB	070-002	A	070-002
071	CABECA			DyenDB	071-200	A	071-202
072	OUVIR			DyenDB	072-200	A	072-202
073	CORACAO			DyenDB	073-200	A	073-200
074	PESADO			DyenDB	074-200	A	074-204
075	AQUI			DyenDB	075-211	A	075-216
076	GOLPEAR			DyenDB	076-007	A	076-007
077	TER			DyenDB	077-004	A	077-004
079	COMO			DyenDB	079-200	A	079-200
080	CACAR			DyenDB	080-003	A	080-003
081	MARIDO			DyenDB	081-200	A	081-200
082	EU			DyenDB	082-200	A	082-200
083	GELO			DyenDB	083-200	A	083-200
084	SE			DyenDB	084-003	A	084-003
085	EM, NA			DyenDB	085-200	A	085-200
086	MATAR			DyenDB	086-007	A	086-007
088	SABER			DyenDB	088-002	A	088-002
