ID	source_form	phon_form	notes	source	cognate_class	reliability
001	KULL, DRUH, THEGH, THEWAGH, SARO			DyenDB	001-400	C
002	GUDA, DI, WA, O			DyenDB	002-005	A
003	JANWAR, ZANWAR, SHANWAR			DyenDB	003-400	C
004	PHUR			DyenDB	004-100	C
005	A,SAR-A			DyenDB	005-100	C
006	PHUSHT			DyenDB	006-006	A
007	GANDAGH, HARAB			DyenDB	007-203	A
008	GAWAZ			DyenDB		A
009	PHA HAW-AN SAUAV, PHA HAW-AN KHAN, KI			DyenDB		A
010	LAF			DyenDB		A
011	MAZAAN, MAZ EN			DyenDB	011-200	A
012	MURGH			DyenDB	012-002	A
013	WARAGH, WARTHA			DyenDB		A
014	SIYAH			DyenDB	014-007	A
015	HON			DyenDB	015-011	A
016	KASHAGH, KHASHTA			DyenDB		A
017	HAD			DyenDB	017-203	A
019	SAH ZIRAGH			DyenDB	019-008	A
020	BALAGH			DyenDB	020-400	C
021	CHUKH			DyenDB	021-100	C
022	JH UR			DyenDB		A
023	SARTH, GWAHAR			DyenDB	023-005	A
024	AGH, AKHTA, ATKA			DyenDB		A
025	GANNAGH, GANNITHA			DyenDB	025-002	A
026	CHAKAGH, CHAKITHA			DyenDB		A
027	ROSH			DyenDB	027-200	A
028	MIRAGH, MURTHA			DyenDB	028-003	A
029	JANAGH, PHATAGH, KATAGH			DyenDB		A
030	MELAR			DyenDB	030-213	A
031	BING, KSHIK			DyenDB	031-100	C
032	WARAGH, WARTHA			DyenDB		A
033	HUSHK			DyenDB	033-205	A
035	DATO, DATO, DANZ			DyenDB		A
036	GOSH			DyenDB	036-002	A
037	MITTI			DyenDB	037-211	A
038	WARAGH, WARTHA			DyenDB	038-007	A
039	HAIKH, ANU			DyenDB	039-007	A
040	CHHAM			DyenDB	040-003	A
041	KHAFAGH, KHAPTA			DyenDB	041-100	C
042	DIR			DyenDB	042-205	A
043	PHIGH			DyenDB		A
044	PHITH, PITH			DyenDB	044-210	A
045	THURSAGH			DyenDB	045-200	A
046	PHAR, KHAMB			DyenDB	046-201	A
047	KHARDE, KHAM			DyenDB	047-204	A
048	MIRAGH, MIRATHA			DyenDB		A
050	AS			DyenDB	050-201	A
051	MAHI			DyenDB	051-002	A
052	PHANCH			DyenDB	052-002	A
053	LURAGH, LURITHA			DyenDB		A
054	BAHAGH, BAHITHA			DyenDB	054-215	A
055	PHUL			DyenDB	055-004	A
056	BAL GIRAGH, BAL GIPTA			DyenDB		A
057	DITHLO			DyenDB		A
058	PHADH			DyenDB	058-200	A
059	CHIAR			DyenDB	059-002	A
060	MADHAGH, MASTAGH			DyenDB		A
061	MEWA, BAR			DyenDB	061-004	A
063	DEAGH, DATHA			DyenDB	063-200	A
064	PHUTUR			DyenDB		A
065	RENV, REM			DyenDB		A
066	SAVZ, MAUNSHAR			DyenDB	066-002	A
067	ROTH, RODH			DyenDB		A
068	PHUT			DyenDB		A
069	DAST			DyenDB	069-200	A
070	I, CHI, ANH			DyenDB	070-400	C
071	SAGHAR			DyenDB	071-205	A
072	ASKHANAGH, ASKHUTHA			DyenDB	072-100	C
073	DIL			DyenDB	073-007	A
074	GIRAN			DyenDB	074-400	C
075	EDHA			DyenDB	075-210	A
076	JANAGH			DyenDB	076-211	A
079	CHACCHO, CHON, CHO			DyenDB	079-202	A
080	SHIKAR KHANAGH-A PHA (HUNTING GAME)			DyenDB	080-004	A
081	MARD			DyenDB	081-200	A
082	MAN			DyenDB	082-200	A
083	BAWAR			DyenDB	083-203	A
084	AR, AR KI			DyenDB	084-010	A
085	NIANWAN, LAFA, SARA			DyenDB		A
086	KHUSHAGH, KHUSHTA			DyenDB	086-012	A
088	SAHIH BIAGH			DyenDB		A
089	DHAND, DAND, DAND			DyenDB	089-208	A
090	KHANDAGH, KHANDITHA			DyenDB	090-010	A
091	THAKH			DyenDB		A
092	CHAP			DyenDB	092-002	A
093	PHADH			DyenDB	093-200	A
094	WAFSAGH			DyenDB		A
095	ZINDAGH (LIVING)			DyenDB	095-005	A
096	JAGHAR			DyenDB	096-202	A
097	DRAZH			DyenDB	097-200	A
098	BOT			DyenDB		A
099	MARD, MAR			DyenDB	099-209	A
100	BA Z			DyenDB	100-009	A
101	GOZHD			DyenDB	101-004	A
103	MATH			DyenDB	103-200	A
104	PHAWAD			DyenDB	104-206	A
105	DAF			DyenDB	105-400	C
106	NAM			DyenDB	106-003	A
107	TANKH			DyenDB	107-212	A
108	NAZI, NAZIKH			DyenDB	108-203	A
109	GWAR			DyenDB	109-006	A
110	NOKH			DyenDB	110-200	A
111	SHAF			DyenDB	111-002	A
112	PHONZ			DyenDB	112-007	A
113	NA, N			DyenDB	113-005	A
114	PHIR			DyenDB	114-003	A
115	YAK, YA			DyenDB	115-200	A
116	DOHMI, DUHMI			DyenDB		A
117	KHAS			DyenDB	117-211	A
118	LEV KHANAGH			DyenDB		A
119	CHIKAGH, CHIKITHA			DyenDB	119-212	A
120	TELAN (SB.)			DyenDB	120-216	A
121	GWARAGH, GWARTA			DyenDB	121-010	A
122	SUHR			DyenDB	122-200	A
123	RAST			DyenDB	123-200	A
124	RAST			DyenDB	124-200	A
125	DIRA			DyenDB	125-206	A
126	DAG			DyenDB	126-011	A
127	PAR			DyenDB		A
128	REZ			DyenDB	128-400	C
129	GALAGH			DyenDB		A
131	MALAGH, MALITHA, MALTHA			DyenDB	131-200	A
132	WHADH, WAHADH			DyenDB		A
133	REKH			DyenDB	133-205	A
134	GUSHAGH, GUSTA, GWASHAGH, GWASHTA			DyenDB		A
135	KHARAGH, KHARITH			DyenDB	135-212	A
136	SAMUNDAR			DyenDB	136-005	A
137	GINDAGH, DITHA			DyenDB		A
138	BIJ			DyenDB	138-002	A
139	DOSHAGH, DOKHTA			DyenDB	139-003	A
140	TEZ			DyenDB	140-005	A
141	GWAND			DyenDB		A
142	GUSHAGH, GUSHTA, GWASHTA			DyenDB		A
143	NINDAGH, NISHTA			DyenDB	143-202	A
144	PHOST			DyenDB	144-004	A
145	ARSH, AZMAN			DyenDB	145-005	A
146	AKSAGH,  AKASTHA			DyenDB		A
147	KIK			DyenDB	147-200	A
148	BO GIRAGH			DyenDB	148-012	A
149	DUHON			DyenDB	149-200	A
150	LASUR			DyenDB	150-002	A
151	MAR			DyenDB	151-003	A
152	BAWAR			DyenDB	152-002	A
153	KHARD-E			DyenDB		A
154	THUK (SB.)			DyenDB	154-005	A
155	BURAGH, BURITHA			DyenDB		A
156	DABAGH, DABITHA			DyenDB		A
158	OSHTAGH, OSHTATHA			DyenDB		A
159	ISTAR			DyenDB	159-004	A
160	LATH			DyenDB	160-200	A
161	KHOH			DyenDB		A
162	SIDHA			DyenDB		A
163	MISHAGH, MIKHTA			DyenDB	163-201	A
164	RO, ROSH			DyenDB	164-202	A
165	SIAGH, SITHA			DyenDB		A
166	TARAGH, TARATHA, THAHARAGH, THAHARTHA			DyenDB		A
167	DUMB			DyenDB	167-005	A
168	AN			DyenDB	168-400	C
169	ODHA			DyenDB		A
170	ESHAN			DyenDB	170-205	A
171	THULAR			DyenDB		A
172	LAGHAR			DyenDB		A
173	ZANAGH, ZANTHA			DyenDB		A
174	HAM-ESH			DyenDB	174-212	A
175	THAU			DyenDB	175-200	A
176	SAI			DyenDB	176-002	A
177	PHIRENAGH, PHIRENTHA			DyenDB		A
178	BANDAGH, BASTHA			DyenDB	178-203	A
179	ZAWAN			DyenDB	179-202	A
180	DATHAN			DyenDB	180-003	A
181	DRASHK			DyenDB	181-200	A
183	DO			DyenDB	183-002	A
184	UCHALNA			DyenDB		A
185	JUZAGH, JUZITHA			DyenDB		A
186	GARM			DyenDB	186-002	A
187	SHODHAGH, SHUSTA			DyenDB	187-011	A
188	AF			DyenDB	188-203	A
189	MA			DyenDB	189-002	A
190	THAR			DyenDB	190-002	A
191	KITHAN			DyenDB	191-003	A
192	KHADHE			DyenDB	192-200	A
193	THANGO			DyenDB		A
194	SWETH			DyenDB	194-205	A
195	KITHAN			DyenDB	195-200	A
196	PRAH			DyenDB	196-209	A
197	ZAL			DyenDB	197-200	A
198	GO			DyenDB		A
199	PHAR			DyenDB	199-202	A
201	GO, GON, GON			DyenDB		A
202	ZAL			DyenDB	202-204	A
203	LADH			DyenDB		A
204	KIRM			DyenDB	204-200	A
205	SHA			DyenDB	205-100	C
206	SAL			DyenDB	206-010	A
207	ZARD, ZHALOKH			DyenDB	207-200	A
