ID	source_form	phon_form	notes	source	cognate_class	reliability
001	AL, ALLE			DyenDB	001-004	A
002	EN			DyenDB	002-009	A
003	DIER			DyenDB	003-005	A
004	AS			DyenDB	004-007	A
005	TE			DyenDB	005-209	A
006	RUG			DyenDB	006-209	A
007	SLEG			DyenDB	007-007	A
008	BAS, BOOMSKORS			DyenDB	008-203	A
009	OMDAT, DOORDAT, OOR, WANT			DyenDB	009-006	A
010	BUIK, PENS			DyenDB	010-208	A
011	GROOT			DyenDB	011-009	A
012	VOEL			DyenDB	012-206	A
013	BYT			DyenDB	013-002	A
014	SWART			DyenDB	014-003	A
015	BLOED			DyenDB	015-004	A
016	WAAI			DyenDB	016-203	A
017	BEEN			DyenDB	017-006	A
019	ASEMHAAL			DyenDB	019-005	A
020	AANBRAND			DyenDB	020-003	A
021	KIND			DyenDB	021-003	A
022	WOLK			DyenDB	022-003	A
023	KOUD			DyenDB	023-002	A
024	KOM			DyenDB	024-206	A
025	TEL, REKEN, AG			DyenDB	025-201	A
026	SNY, SNOEI			DyenDB	026-004	A
027	DAG			DyenDB	027-004	A
028	STERF, STERWE, DOODGAAN			DyenDB	028-201	A
029	GRAAF, GRAWE			DyenDB	029-205	A
030	VUIL, SMERIG			DyenDB	030-210	A
031	HOND			DyenDB	031-003	A
032	DRINK			DyenDB	032-003	A
033	DROOG, DROR			DyenDB	033-004	A
034	STOMP			DyenDB	034-005	A
035	STOF			DyenDB	035-203	A
036	OOR			DyenDB	036-200	A
037	AARDE			DyenDB	037-004	A
038	EET			DyenDB	038-006	A
039	EIER			DyenDB	039-007	A
040	OOG			DyenDB	040-002	A
041	VAL			DyenDB	041-200	A
042	VER			DyenDB	042-200	A
043	VET			DyenDB	043-006	A
044	VADER, PA			DyenDB	044-216	A
045	VREES, BANG WEES			DyenDB	045-011	A
046	VEER, PLUIM			DyenDB	046-203	A
047	N PAAR, WEINIG			DyenDB	047-208	A
048	VEG			DyenDB	048-202	A
050	VUUR			DyenDB	050-003	A
051	VIS			DyenDB	051-009	A
052	VYF			DyenDB	052-002	A
053	DRYF, DRYWE			DyenDB	053-006	A
054	VLOEI, STROOM			DyenDB	054-204	A
055	BLOM			DyenDB	055-002	A
056	VLIE, VLIEG			DyenDB	056-006	A
057	MIS, NEWEL			DyenDB	057-205	A
058	VOET			DyenDB	058-200	A
059	VIER			DyenDB	059-002	A
060	VRIES			DyenDB	060-207	A
061	VRUG			DyenDB	061-006	A
063	GEE			DyenDB	063-002	A
064	GOED			DyenDB	064-003	A
065	GRAS			DyenDB	065-007	A
066	GROEN			DyenDB	066-003	A
067	INGEWAND, DERM			DyenDB	067-205	A
068	HAAR, HARE			DyenDB	068-004	A
069	HAND			DyenDB	069-003	A
070	HY			DyenDB	070-204	A
071	HOOF, KOP			DyenDB	071-203	A
072	HOOR			DyenDB	072-003	A
073	HART			DyenDB	073-200	A
074	SWAAR			DyenDB	074-008	A
075	HIER			DyenDB	075-003	A
076	SLAAN, RAPS			DyenDB	076-200	A
077	HOU			DyenDB	077-200	A
079	HOE			DyenDB	079-200	A
080	JAG, JA (AG), JAE			DyenDB	080-007	A
081	MAN, EGGENOOT			DyenDB	081-209	A
082	EK, EKKE			DyenDB	082-200	A
083	YS			DyenDB	083-005	A
084	AS, INDIEN			DyenDB	084-212	A
085	IN			DyenDB	085-200	A
086	DOODMAAK			DyenDB	086-207	A
088	WEET			DyenDB	088-200	A
089	MEER, PAN			DyenDB	089-005	A
090	LAG			DyenDB	090-200	A
091	BLAD, BLAAR			DyenDB	091-204	A
092	LINKS, HOT			DyenDB	092-006	A
093	BEEN			DyenDB	093-202	A
094	LE, LEG			DyenDB	094-003	A
095	LEEF, LEWE			DyenDB	095-002	A
096	LEWER			DyenDB	096-002	A
097	LANG			DyenDB	097-200	A
098	LUIS			DyenDB	098-200	A
099	MAN			DyenDB	099-205	A
100	BAIE, VEEL			DyenDB	100-203	A
101	VLEES, VLEIS			DyenDB	101-006	A
103	MOEDER, MA			DyenDB	103-202	A
104	BERG			DyenDB	104-200	A
105	MOND			DyenDB	105-007	A
106	NAAM			DyenDB	106-003	A
107	NOU, ENG			DyenDB	107-207	A
108	NABY, DIGBY			DyenDB	108-201	A
109	HALS, NEK			DyenDB	109-205	A
110	NUWE			DyenDB	110-200	A
111	NAG, AAND			DyenDB	111-004	A
112	NEUS			DyenDB	112-005	A
